,City,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,khatanga,71.97,102.5,3.58,93,100,10.85,RU,1585714247
1,rondonopolis,-16.47,-54.64,74.84,73,2,1.88,BR,1585714248
2,noumea,-22.28,166.46,84.2,62,20,17.22,NC,1585714248
3,punta arenas,-53.15,-70.92,48.2,76,75,14.99,CL,1585714249
4,rikitea,-23.12,-134.97,79.29,71,100,6.04,PF,1585714249
5,puerto ayora,-0.74,-90.35,78.01,80,15,1.01,EC,1585714249
6,kavieng,-2.57,150.8,83.7,78,94,13.96,PG,1585714250
7,vaini,-21.2,-175.2,84.2,74,20,8.05,TO,1585714250
8,portland,45.52,-122.68,46.4,61,75,11.41,US,1585714101
9,hamilton,39.18,-84.53,43.0,87,90,3.36,US,1585714251
10,shahr-e babak,30.12,55.12,48.94,31,0,0.76,IR,1585714251
11,cidreira,-30.18,-50.21,72.12,87,71,15.3,BR,1585713712
12,vendome,47.8,1.07,37.4,74,0,9.17,FR,1585714251
13,yellowknife,62.46,-114.35,3.2,41,20,8.05,CA,1585714252
14,bengkulu,-3.8,102.27,84.51,65,100,3.06,ID,1585714252
15,mugur-aksy,50.35,90.5,23.09,45,0,5.19,RU,1585714252
16,champerico,14.3,-91.92,81.03,74,2,8.99,GT,1585713674
17,hilo,19.73,-155.09,73.4,83,90,4.7,US,1585714252
18,cherskiy,68.75,161.3,9.81,91,7,9.22,RU,1585713670
19,ushuaia,-54.8,-68.3,46.4,75,40,6.93,AR,1585714200
20,longyearbyen,78.22,15.64,-5.8,83,20,6.93,SJ,1585713616
21,mulege,26.88,-111.98,70.56,40,100,2.44,MX,1585714253
22,ambilobe,-13.2,49.05,75.11,90,76,2.46,MG,1585714254
23,jacareacanga,-6.22,-57.75,74.8,93,100,1.3,BR,1585713686
24,maarianhamina,60.1,19.93,37.4,59,55,12.75,AX,1585714254
25,mahebourg,-20.41,57.7,82.0,94,40,6.96,MU,1585713659
26,high level,58.52,-117.14,6.8,60,79,11.41,CA,1585714255
27,east london,-33.02,27.91,60.8,93,75,14.99,ZA,1585714255
28,kodiak,57.79,-152.41,37.4,51,90,9.17,US,1585713668
29,albany,42.6,-73.97,39.2,51,20,4.7,US,1585714226
30,zeya,53.75,127.27,34.38,77,87,5.95,RU,1585714256
31,mujiayingzi,42.12,118.78,45.01,29,0,10.78,CN,1585714256
32,lorengau,-2.02,147.27,83.25,80,98,11.95,PG,1585713694
33,santa cruz,-17.8,-63.17,75.2,94,96,4.7,BO,1585714257
34,clyde river,70.47,-68.59,-0.4,70,75,9.17,CA,1585713689
35,mataura,-46.19,168.86,64.0,63,10,5.01,NZ,1585714257
36,arraial do cabo,-22.97,-42.03,75.2,94,40,3.36,BR,1585713662
37,jamestown,42.1,-79.24,42.8,93,90,5.82,US,1585714258
38,tura,25.52,90.22,86.95,16,0,3.18,IN,1585714258
39,luau,-10.71,22.22,65.07,65,96,2.53,AO,1585714258
40,nizhniy odes,63.64,54.86,14.16,93,5,3.85,RU,1585714259
41,lebu,-37.62,-73.65,55.33,77,2,16.98,CL,1585714259
42,coihaique,-45.58,-72.07,44.6,81,40,2.24,CL,1585714259
43,hithadhoo,-0.6,73.08,83.3,66,93,9.15,MV,1585713678
44,zhenlai,45.85,123.3,53.15,34,0,14.43,CN,1585714260
45,saint-philippe,-21.36,55.77,79.0,73,75,9.17,RE,1585714260
46,yar-sale,66.83,70.83,4.96,92,6,3.42,RU,1585713668
47,kapaa,22.08,-159.32,78.8,73,75,14.99,US,1585714261
48,sao gabriel da cachoeira,-0.13,-67.09,74.32,95,100,0.49,BR,1585714261
49,norman wells,65.28,-126.83,17.6,34,5,14.99,CA,1585713669
50,chifeng,42.27,118.96,47.07,29,0,12.53,CN,1585714262
51,varkkallai,8.73,76.71,86.0,70,20,5.82,IN,1585714262
52,cape town,-33.93,18.42,63.0,67,20,19.46,ZA,1585714068
53,kavaratti,10.57,72.64,86.0,74,20,4.7,IN,1585714262
54,hermanus,-34.42,19.23,60.31,81,6,12.12,ZA,1585714263
55,butaritari,3.07,172.79,84.13,76,94,17.65,KI,1585714263
56,tuatapere,-46.13,167.68,64.0,63,0,5.01,NZ,1585714263
57,udachnyy,66.42,112.4,5.0,71,42,11.18,RU,1585714264
58,ribeira grande,38.52,-28.7,56.7,69,100,29.28,PT,1585714265
59,homer,59.64,-151.55,37.4,51,40,6.93,US,1585714265
60,jiaohe,43.73,127.34,45.99,40,0,8.95,CN,1585714265
